线路,线路类型,现设计时速,电气化,建成年份,起点,终点,途径站点,,
沈抚城际,普速铁路,120,是,2008.11,沈阳,抚顺北,NULL,多线，替代，原线停运,
石太铁路,普速铁路,N/A,是,1907.11,石家庄北,太原,石家庄北-太原,,
石太客运专线,高速铁路,250,是,2009.4.1,石家庄,太原南,石家庄-太原南,,
石德铁路,普速铁路,120,是,1941.2,石家庄,德州东,石家庄-衡水-德州东,衡水，京沪告诉,
石济客运专线,高速铁路,250,是,2017.12.28,石家庄,济南西,石家庄-济南西,,
四梅线,普速铁路,N/A,否,1927,四平,梅河口,四平-梅河口,,
梅集线,普速铁路,N/A,否,1939,梅河口,集安,NULL,通化-集安停运，通化,
太中铁路,普速铁路,200,是,2011.1.1,太原,中卫,太原-绥德-中卫,,
京通线,普速铁路,110,是,1977.12,怀柔北,通辽,怀柔北-隆化-通辽,,
集通线,普速铁路,N/A,否,1995.12.1,集宁南,通辽,集宁南-桑根达来-通辽,,
大郑线-双通段,普速铁路,N/A,否,1927.11.5,双辽,通辽,双辽-通辽,,
大郑线-通大段,普速铁路,N/A,否,1927.11.6,通辽,大虎山,通辽-大虎山,沈阳绕行，但速度更慢，可以忽略,
通让线,普速铁路,N/A,否,1966.12,通辽,大庆西,通辽-大庆西,,
通霍线,普速铁路,N/A,否,1984.1,通辽,霍林郭勒,通辽-霍林郭勒,,
新通客专线,高速铁路,N/A,是,2018.12.29,通辽,沈阳,通辽-沈阳,,
锡乌线,普速铁路,N/A,否,2015.7.1,锡林浩特,乌兰浩特,锡林浩特-霍林郭勒-乌兰浩特,,
宁铜铁路,普速铁路,120,否,1971,铜陵,南京,铜陵-芜湖-南京,,
长图线-长吉段,普速铁路,N/A,否,1912,长春,吉林,长春-吉林,,
长图线-吉敦段,普速铁路,N/A,否,1924,吉林,敦化,吉林-敦化,,
长图线-敦图段,普速铁路,N/A,否,1928,敦化,图们北,敦化-图们北,,
长珲城际,高速铁路,250,是,2015.9.20,长春,珲春,长春-吉林-敦化-图们北-珲春,,
白阿线,普速铁路,N/A,否,1937,白城,阿尔山,白城-乌兰浩特-阿尔山,,
长白乌铁路,快速铁路,160,是,2017.8.8,长春,乌兰浩特,长春-白城-乌兰浩特,,
伊阿线,普速铁路,N/A,否,2016.7.1,海拉尔,阿尔山北,海拉尔-阿尔山北,,
长白线,快速铁路,160,是,1935,长春,白城,长春-白城,,
武九线,快速铁路,200,是,1990.10.1,武昌,九江,武昌-鄂州-黄石-九江,,
武九客运专线-武石段,高速铁路,250,是,2014.6.18,武汉,黄石北,武汉-黄石北,,
武九客运专线-石九段,高速铁路,250,是,2017.9.21,黄石北,九江,黄石北-黄石北-九江,,
武咸城际,快速铁路,250,是,2013.12.28,武昌,咸宁南,武昌-咸宁南,,
锡桑线,普速铁路,N/A,否,2002.8.1,锡林浩特,桑根达来,锡林浩特-桑根达来,,
武西高铁-云十段,高速铁路,350,是,2019.11.29,孝感东,十堰东,孝感东-襄阳东-十堰东,,
徐盐客运专线,高速铁路,250,是,2019.12.26,徐州东,盐城,徐州东-盐城,,
青荣城际,快速铁路,250,是,2014.12.28,青岛,荣成,青岛-烟台南-荣成,威海,
青盐线,快速铁路,200,是,2018.12.26,青岛西,盐城,青岛西-日照西-连云港-盐城,,
新长线-海安以北,普速铁路,120,否,2002.9.30,新沂,海安,新沂-盐城-海安,,
胶新线,普速铁路,120,是,2013.12.10,胶州,新沂,胶州-新沂,,
宁启铁路-宁通段,快速铁路,200,是,2015.7.1,南京,南通,南京-海安-南通,,
宁启铁路-通启段,快速铁路,200,是,2019.1.5,南通,启东,南通-启东,,
沪苏通铁路,快速铁路,200,是,2020.7.1,南通,上海,南通-上海,,
牙林线,普速铁路,N/A,否,1963.12,牙克石,满归,牙克石-伊图里河-满归,,
内昆铁路,普速铁路,120,是,2002.5.12,内江,六盘水,内江-宜宾-昭通-六盘水,昭通-六盘水停运,
安六城际,高速铁路,250,是,2020.7.8,六盘水,安顺西,六盘水-安顺西,,
